City,Country,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating
Lausanne,Switzerland,90.77,65.85,87.62,73.21,35.55
Geneva,Switzerland,61.22,74.88,29.43,82.76,54.36
Basel,Switzerland,78.17,79.74,59.18,88.27,28.12
Perth,Australia,62.11,80.56,23.53,74.62,50.01
Nashville,United States,80.3,60.3,0,80.5,25.5
Canberra,Australia,63.26,91.9,11.48,93.05,40.36
Bergen,Norway,51.24,84.95,18.4,83.76,16.67
Luxembourg,Luxembourg,76.44,59.72,57.17,81.41,18.75
Stavanger,Norway,46.59,62.48,29.13,76.5,20.83
Adelaide,Australia,72.03,56.25,12.01,91.54,41.32
Ottawa,Canada,91.85,66.02,33.55,86.11,22.25
Trondheim,Norway,51.22,81.67,14.53,82.67,19.8
Oslo,Norway,52.51,88.19,29.39,71.27,35.53
Doha,Qatar,81.96,68.06,83.45,80.28,27.17
Sydney,Australia,54.82,71.27,18.48,74.32,32.8
Cambridge,United Kingdom,54.76,81.48,57.18,70.61,24.22
Gold Coast,Australia,56.11,82.23,30.55,81.31,43.02
Melbourne,Australia,55.48,76.67,30.28,68.99,48.75
Brisbane,Australia,53.72,88.89,22.19,77.07,45.84
New York,United States,55.56,51.39,12.01,61.94,47.33
Boston,United States,59.28,78.04,61.77,82.81,40.69
Darwin,Australia,49.51,75.28,6.78,78.52,32.8
Newark,United States,84.39,79.72,62.14,73.21,30.21
The Hague,Netherlands,68.28,66.74,37.21,79.99,29.76
Seattle,United States,78.46,75.46,32.9,84.1,42.03
Dubai,United Arab Emirates,69.64,67.78,30.81,85.16,19.36
Atlanta,United States,80.83,61.11,63.09,80.51,56.04
Baltimore,United States,78.78,72.08,77.98,82,58.85
Calgary,Canada,63.9,75.33,23.53,87.57,29.53
Hong Kong,Hong Kong,50.07,67.59,14.88,59.5,16.31
Honolulu,United States,58.54,57.03,30.28,79.58,44.14
Edmonton,Canada,67.19,78.83,22.79,89.58,31.14
Las Vegas,United States,80.46,66.52,59.73,60.5,70.57
Auckland,New Zealand,49.02,71.85,30.03,66.98,50.38
Saint Louis,Senegal,80.4,77.29,31.33,87.51,78.13
Abu Dhabi,United Arab Emirates,68.03,48.02,53.42,80.8,10.86
Houston,United States,71.96,79.44,65.21,74.08,61.72
Dallas,United States,76.18,69.99,83.89,80.56,59.9
Chicago,United States,66.77,62.92,22.98,80.71,54.52
Austin,United States,69.22,73.61,28.84,86.51,42.5
Dresden,Germany,82.6,78.29,16.89,90.21,15.34
Los Angeles,United States,62.75,68.61,75.2,62.82,65.74
Charlotte,United States,77.18,72.08,67.05,84.39,30.21
Tokyo,Japan,47.57,71.53,30.54,69.29,13.91
Indianapolis,United States,80.72,36.66,82.08,77.13,30.21
Paris,France,47.08,83.33,59.18,52.62,53.75
Munich,Germany,63.28,88.43,43.08,90.08,15.34
Orlando,United States,71.07,76.01,70.75,82.33,55.07
Toulouse,France,54.47,81.01,36.23,66.66,47.27
Stockholm,Sweden,51.03,82.5,13.93,78.58,25.62
Copenhagen,Denmark,49.33,85.14,30.54,75.23,32.39
London,United Kingdom,53.17,69.53,57.95,47.89,50.14
Edinburgh,United Kingdom,58.77,60.64,13.94,75.03,30.51
Leeds,United Kingdom,63.88,81.48,18.48,78.06,28.91
Helsinki,Finland,54.41,74.35,29.14,75.85,40.96
Stuttgart,Germany,65.82,80.38,16.89,90.4,23.96
New Orleans,United States,66.32,65.83,14.76,81.2,42.19
Dublin,Ireland,50.13,41.12,30.54,65.27,48.31
