Speaker,Tier,Unavailable_Timeslots,Present_After,Time Slot Preference
1,Keynote,"4, 5, 6, 7, 8, 9, 10",6,3
2,Keynote,"1, 5, 6, 7, 8, 9, 10",,4
3,Keynote,"1, 2, 3, 4, 8, 9, 10",10,6
4,Keynote,"1, 2, 3, 4, 5, 9, 10",,7
5,Keynote,"4, 5, 6, 7, 8, 9, 10",,4
6,Regular,"3, 4, 5, 6, 7, 8, 9, 10",,2
7,Regular,"1, 2, 5, 6, 7, 8, 9, 10",,3
8,Regular,"1, 2, 3, 4, 7, 8, 9, 10",,6
9,Regular,"1, 2, 3, 4, 5, 6, 9, 10",,7
10,Regular,"1, 2, 3, 7, 8, 9, 10",,9
11,Regular,"4, 5, 6, 7, 8, 9, 10",,1
12,Regular,"1, 5, 6, 7, 8, 9, 10",,2
13,Regular,"1, 2, 3, 4, 8, 9, 10",,5
14,Regular,"1, 2, 3, 4, 5, 9, 10",,7
15,Regular,"1, 2, 3, 4, 5, 6, 7",,8
16,Regular,"5, 6, 7, 8, 9, 10",,2
17,Regular,"1, 6, 7, 8, 9, 10",,3
18,Regular,"1, 2, 3, 4, 5, 9, 10",,6
19,Regular,"4, 5, 6, 7, 8, 9, 10",,1
20,Regular,"1, 2, 6, 7, 8, 9, 10",,5
21,Regular,"1, 2, 3, 4, 5, 9, 10",,7
22,Regular,"1, 2, 3, 4, 5, 6, 7, 8",,9
23,Regular,"3, 4, 5, 6, 7, 8, 9, 10",,2
24,Regular,"1, 5, 6, 7, 8, 9, 10",,4
25,Regular,"1, 2, 3, 4, 9, 10",,6
26,Regular,"1, 2, 3, 4, 5, 10",,8
27,Regular,"1, 5, 6, 7, 8, 9, 10",,2
28,Regular,"1, 2, 3, 7, 8, 9, 10",,4
29,Regular,"1, 2, 3, 4, 5, 6, 10",,7
30,Regular,"1, 2, 3, 4, 5, 6, 7, 8",,9
