x,y
1,-8.757308416
20,7.474034182
16,-3.130077316
-2,4.804114113
-4,-0.098472875
-12,0.951394436
9,5.142188414
-4,-11.37542399
7,-4.381209163
3,7.127480012
-4,-13.58502937
-9,-6.735645548
-5,-8.134248246
7,13.61556125
-7,-5.913751211
0,8.19806154
0,-8.897314813
-15,9.049741215
6,0.412745742
-3,-12.71023041
-11,2.484946249
1,9.370822011
-4,4.351634881
-1,6.343790938
-15,3.292825053
7,-13.06992339
16,10.12896231
-10,2.258387458
12,-2.672253014
-14,-6.40759923
2,-6.849217352
-4,-11.18318246
-13,-17.11583053
-1,-8.546727893
-1,5.229173632
-18,1.823427275
-7,2.442070708
12,-18.42234174
-12,1.881369571
-6,-1.099953959
0,1.89718792
-1,-24.87151535
4,1.48531986
-5,27.45117965
-3,-6.892179781
-15,1.078841308
-3,-14.24655589
-17,3.691639571
6,7.362052133
3,-16.84899962
10,-19.8982224
-4,9.114744851
-21,7.592043314
2,0.135485486
-3,21.82275911
0,-6.129387355
1,-3.484589307
3,3.27245353
8,21.56219993
14,2.415068879
5,-4.370644157
-2,-14.29066898
-16,-10.44209878
-8,12.49469743
6,-9.070304175
-5,3.021768252
-3,4.603492107
-2,9.79141336
11,-11.65431734
22,-9.396024431
-13,-4.114909524
-5,-9.828118948
-5,8.231244017
-5,8.168470717
7,-11.99439969
6,3.931581922
1,-10.65246155
0,-13.48511884
11,20.77712232
-2,7.656954261
-1,12.1658059
13,-17.35391147
-16,7.910261497
-1,5.07047502
10,-2.295177532
-8,0.186389495
-19,0.242153406
-6,-2.749398079
-6,7.631836461
7,-7.044557031
-12,6.355011682
0,-5.431980084
10,16.16939902
-12,8.478637181
10,0.597147707
6,-1.044111434
-11,11.14733893
-17,14.47604053
13,-2.675919218
-22,7.576049877
-19,1.165333161
15,-0.696156591
7,-12.83904811
38,30.75573893
8,-2.465972995
-10,-2.413487496
-1,-1.708304077
-10,-13.12098532
0,4.802883823
8,7.596931199
1,-9.581683356
-17,3.426804033
1,0.282836348
11,-16.90616826
11,-2.524360365
1,21.32486729
-13,-12.32434514
-20,-0.795405869
5,5.431731801
-11,7.464021537
0,-6.949491237
-11,-0.211757743
-18,3.660932262
14,-3.578168524
-1,11.78239159
-9,-0.751525704
-2,-11.84411427
5,-3.743028837
-5,-11.99451199
1,7.125389404
2,-14.43216995
-1,-2.340688907
7,-16.09438896
18,0.03017434
6,-10.61467637
-9,3.984164196
-2,-4.022899216
2,6.926960571
8,0.886497906
1,-3.373384111
-1,10.03397557
3,10.31282197
-16,14.70713867
2,24.00918311
4,-14.29762662
-15,20.46713968
-29,0.333172781
-1,10.17264343
27,-19.72864048
15,6.933906585
4,27.09001947
-9,2.876311214
10,-13.83622156
0,3.758968273
-5,-6.681717368
1,5.078095905
-3,-11.477416
-5,15.76166724
19,-14.47436112
-14,-11.93885977
-22,-25.85767589
-28,-5.285056361
8,-2.586895905
-1,19.9027365
7,-17.90003919
-9,-10.62441137
20,-5.507144119
-6,34.65227148
-12,-1.572651674
-17,-11.36261007
-8,4.184152388
3,-6.542808538
-9,-8.279323644
7,4.358672525
4,-18.84834387
1,0.22213928
6,5.583469023
16,-13.80114296
-4,7.869814652
4,-1.59517365
-20,7.837860782
-10,9.425068792
-3,-20.84270884
4,-8.282803927
7,-4.559469275
1,13.08346827
15,-10.92688865
-9,3.575077532
3,13.34730758
-12,-9.443200259
-3,0.556760149
22,-1.652095526
17,-7.221507701
-19,-1.34801312
0,-6.027593698
-13,-10.97171985
0,0.03957594
-2,-2.522700404
0,8.315330299
16,15.41605175
11,9.270532988
11,-9.272485994
10,8.726631262
10,10.98875987
-4,-11.85983565
7,4.282328706
4,-10.94042931
10,-14.32190611
3,0.490374615
3,-7.524141777
1,-0.82898525
3,-1.320767147
18,-3.361436285
7,9.882088485
-23,1.621555998
12,16.63536311
17,-3.955656349
-5,-5.848893325
10,3.025477016
0,-2.480113483
7,10.91815907
-1,-0.860556434
0,9.929416493
8,-8.782681675
2,-10.70043331
12,-2.302846784
2,-3.390854333
-19,-5.644846583
2,-32.09955382
15,-10.16481112
12,-4.455882638
-1,2.550014443
-21,2.630766894
10,-4.951739548
18,-3.769033502
3,-3.664962494
4,2.699872386
-2,-8.56062022
-5,-2.1606012
-6,-3.022844249
1,25.39432033
-4,6.491729273
-4,-14.25756281
-2,-4.50176435
8,7.912949804
-2,-8.424357383
-12,13.55272562
8,13.5476914
12,9.522756261
-5,-3.992846345
5,-8.428605517
9,-0.19397586
15,-1.799633176
-4,5.364439369
-3,-0.335470273
-12,9.291001133
0,-1.704564684
-13,2.383846453
5,-11.04523093
-22,-3.481706377
0,15.17536128
4,-10.77826077
7,4.296764359
9,12.03320593
1,9.493608647
-4,7.389539008
31,33.34203518
1,15.47729103
11,11.59968974
-2,3.01982992
6,6.868900661
12,-17.33095624
-7,8.16454011
-5,-27.52037663
3,14.48001421
-5,10.29732685
18,1.396675785
-10,8.712160137
17,5.130743788
3,-4.806321622
10,-9.309696528
14,-3.99391377
12,-1.42535196
-3,-1.366293793
5,0.865248486
13,-5.586953357
-11,13.74859418
-3,-15.47992563
11,-4.648425703
-19,1.671367837
12,0.30877753
9,-9.833626436
0,-6.314322516
20,-3.432976822
7,-17.23193324
-5,-0.526349698
-11,-5.497461935
5,-0.163454028
9,12.53726134
-5,1.656417861
