price,review_scores_rating,number_of_reviews,security_deposit,cleaning_fee,neighborhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified
300,100,24,500,95,Wallingford,House,Entire home/apt,5,1.5,3,3,within a few hours,1,1,t,t,t
149,96,11,300,105,Wallingford,Apartment,Entire home/apt,6,1,2,3,within an hour,1,1,f,t,t
95,95,79,150,40,Wallingford,Apartment,Entire home/apt,3,1,1,2,within an hour,1,1,f,t,t
105,100,13,500,50,Wallingford,House,Private room,2,2,1,1,within a few hours,1,1,t,t,t
140,99,30,250,65,Wallingford,House,Entire home/apt,2,1,1,1,within an hour,1,1,t,t,t
130,97,14,350,50,Wallingford,Apartment,Entire home/apt,4,1,1,1,within an hour,1,1,t,t,f
199,84,5,350,160,Wallingford,House,Entire home/apt,8,2,4,4,within an hour,1,1,f,t,t
209,96,5,300,95,Wallingford,House,Entire home/apt,6,1.5,2,3,within an hour,1,1,f,t,t
100,97,28,100,50,Wallingford,House,Entire home/apt,4,1,0,2,within an hour,1,1,t,t,t
110,96,97,100,30,Wallingford,Apartment,Entire home/apt,4,1,1,1,within a few hours,0.9,1,f,t,t
104,96,15,250,50,Wallingford,Apartment,Entire home/apt,2,1,1,2,within an hour,1,1,f,t,t
135,97,71,200,30,Wallingford,Apartment,Entire home/apt,6,1,2,3,within a few hours,0.9,1,t,t,t
122,96,9,100,50,Wallingford,House,Entire home/apt,6,1,2,3,within an hour,1,1,f,t,t
158,80,1,150,65,Wallingford,House,Entire home/apt,4,1,2,2,within an hour,1,1,f,t,t
125,93,12,100,50,Wallingford,House,Entire home/apt,4,1,2,2,within a few hours,1,1,f,t,t
65,97,61,200,40,Wallingford,House,Private room,2,1,1,1,within an hour,1,1,t,t,t
100,94,49,95,40,Wallingford,House,Entire home/apt,4,1,1,2,within an hour,1,1,f,t,t
99,96,10,400,100,Wallingford,Apartment,Entire home/apt,4,1,2,3,within an hour,1,1,t,t,f
126,95,12,350,65,Wallingford,House,Entire home/apt,4,1,2,2,within an hour,1,1,f,t,t
90,100,54,100,50,Wallingford,Apartment,Entire home/apt,2,1,1,1,within a few hours,1,1,t,t,t
40,93,6,350,35,Wallingford,House,Shared room,1,1,1,1,within an hour,0.9,1,f,t,t
50,100,1,350,28,Wallingford,House,Shared room,1,1,1,1,within an hour,0.9,1,f,t,t
40,94,7,350,35,Wallingford,House,Shared room,1,1,1,1,within an hour,0.9,1,f,t,t
40,80,1,350,35,Wallingford,House,Shared room,1,1,1,1,within an hour,0.9,1,f,t,t
160,93,37,400,90,Wallingford,House,Entire home/apt,6,1,2,4,within a few hours,1,1,f,t,t
40,90,2,350,35,Wallingford,House,Shared room,1,1,1,1,within an hour,0.9,1,f,t,t
150,97,6,300,75,Wallingford,House,Entire home/apt,5,1,2,2,within an hour,1,1,f,t,t
40,93,6,350,35,Wallingford,House,Shared room,1,1,1,1,within an hour,0.9,1,f,t,t
575,100,5,500,175,Wallingford,House,Entire home/apt,8,3,4,5,within a few hours,1,1,f,t,t
40,93,4,350,35,Wallingford,House,Shared room,1,1,1,1,within an hour,0.9,1,f,t,t
70,95,12,250,75,Wallingford,Apartment,Entire home/apt,4,1,1,2,within an hour,1,1,f,t,t
100,97,6,100,75,Wallingford,Apartment,Entire home/apt,4,1,1,2,within a few hours,1,1,f,t,t
250,88,5,200,65,Wallingford,House,Entire home/apt,7,1,3,4,within a day,1,1,f,t,f
150,90,2,400,120,Wallingford,House,Entire home/apt,4,1,1,2,within a few hours,1,1,f,t,t
200,100,2,100,50,Wallingford,House,Entire home/apt,5,1,1,2,within a few hours,1,1,f,t,t
95,80,1,300,75,Wallingford,Apartment,Entire home/apt,2,1,1,1,within a few hours,1,1,t,t,t
40,84,6,350,35,Wallingford,House,Shared room,1,1,1,1,within an hour,0.9,1,f,t,t
90,93,52,200,40,Wallingford,Apartment,Entire home/apt,2,1,1,1,within a few hours,0.9,1,f,t,t
85,88,5,100,8,Wallingford,Apartment,Entire home/apt,2,1,0,1,within a day,0.71,1,f,t,f
40,80,3,350,35,Wallingford,House,Shared room,1,1,1,1,within an hour,0.9,1,f,t,t
40,96,32,150,20,Wallingford,House,Private room,2,1.5,1,1,within a day,1,1,t,t,t
245,100,1,350,150,Wallingford,House,Entire home/apt,8,2,4,4,within a few hours,1,1,f,t,f
