R Age S Ed Ex0 Ex1 LF M N NW U1 U2 W X
791 24 5 91 57 58 510 15100 156 78 59 20 40 1
1635 29 5 113 45 44 583 15600 200 79 65 13 23 1
578 24 5 89 40 43 533 15000 170 65 56 16 33 1
632 24 5 80 60 62 542 14800 180 55 49 18 30 1
536 21 5 90 71 68 520 14200 180 61 52 19 29 1
738 27 5 86 63 64 589 15800 168 64 54 15 36 1
926 27 5 91 50 49 553 15500 170 79 63 19 47 1
1124 23 4 78 45 40 510 14900 157 63 45 21 50 1
289 23 4 100 39 46 537 14700 135 57 41 14 31 1
743 25 4 82 65 67 552 15200 175 69 57 16 38 1
806 28 4 89 60 57 586 16000 189 73 59 14 44 1
1043 24 4 93 43 44 531 15300 182 62 53 17 43 1
781 23 5 79 66 64 502 14200 158 65 55 16 40 1
916 25 5 96 42 45 527 15000 183 61 51 17 45 1
1039 26 4 97 39 42 525 15900 188 59 51 18 41 1
499 26 5 87 47 48 536 14400 150 71 58 20 34 1
958 28 5 103 46 47 600 16300 194 72 58 19 48 1
1055 27 4 95 38 37 582 16200 195 55 50 18 46 1
643 24 4 88 60 63 514 14800 160 69 54 15 35 1
978 25 4 90 49 50 572 15400 178 66 56 17 45 1
1035 26 4 91 41 39 535 16000 198 60 50 20 44 1
1280 29 5 110 38 40 618 16700 212 61 53 18 52 1
288 24 4 71 80 81 490 14000 129 78 61 17 26 0
432 26 4 78 70 72 495 14500 138 75 59 17 28 0
320 27 4 74 75 76 508 14800 140 73 58 18 30 0
267 24 4 72 82 84 487 13900 130 81 63 19 25 0
421 28 4 77 69 70 503 14600 143 71 59 18 29 0
397 25 4 75 74 75 492 14300 132 77 60 17 27 0
308 23 4 73 79 80 488 14100 135 76 61 18 26 0
344 27 4 76 71 72 506 14700 141 72 58 19 28 0
231 24 4 70 84 83 483 13800 128 82 63 18 24 0
278 25 4 71 77 78 489 14400 133 74 60 17 27 0
214 24 4 72 83 82 481 13700 126 83 64 19 24 0
309 26 4 74 76 77 494 14500 139 74 60 18 27 0
399 27 4 78 68 69 507 14900 144 70 58 17 30 0
355 25 4 77 73 74 500 14700 138 73 60 18 29 0
246 24 4 70 85 86 480 13600 125 84 64 19 23 0
198 23 4 69 87 88 478 13500 122 86 65 20 22 0
315 27 4 76 72 73 498 14600 137 72 59 18 28 0
267 26 4 75 78 79 493 14500 134 75 61 17 27 0
211 24 4 69 88 89 479 13700 124 87 66 20 23 0
178 23 4 68 90 91 475 13400 120 89 67 21 21 0
286 25 4 73 77 78 491 14300 132 74 60 18 26 0
243 26 4 71 80 81 488 14200 130 77 61 17 25 0
199 23 4 69 89 90 476 13600 123 88 66 19 22 0
