Group,Variable,%DeltaVar,Pred_NOX,%DeltaNOX
Controllable,TIT,-10,65.8354263305664,4.617329438321958
Controllable,TIT,-5,65.8354263305664,4.617329438321958
Controllable,TIT,0,62.929752349853516,0.0
Controllable,TIT,5,68.18804168701172,8.355808088875218
Controllable,TIT,10,68.18804168701172,8.355808088875218
Controllable,TAT,-10,64.47297668457031,2.4522968502042564
Controllable,TAT,-5,64.47297668457031,2.4522968502042564
Controllable,TAT,0,62.929752349853516,0.0
Controllable,TAT,5,62.92403793334961,-0.009080627668987722
Controllable,TAT,10,62.92403793334961,-0.009080627668987722
Controllable,AFDP,-10,66.81453704833984,6.1732083051735875
Controllable,AFDP,-5,63.692466735839844,1.2120091967724127
Controllable,AFDP,0,62.929752349853516,0.0
Controllable,AFDP,5,62.57073974609375,-0.5704974044135124
Controllable,AFDP,10,62.375308990478516,-0.8810512335923575
Semi-controllable,TEY,-10,62.31177520751953,-0.9820110826090401
Semi-controllable,TEY,-5,62.31177520751953,-0.9820110826090401
Semi-controllable,TEY,0,62.929752349853516,0.0
Semi-controllable,TEY,5,64.5641860961914,2.5972353065230127
Semi-controllable,TEY,10,64.5641860961914,2.5972353065230127
Semi-controllable,GTEP,-10,66.1156997680664,5.0627045224981035
Semi-controllable,GTEP,-5,65.8829574584961,4.6928598927649405
Semi-controllable,GTEP,0,62.929752349853516,0.0
Semi-controllable,GTEP,5,63.060550689697266,0.20784817190537452
Semi-controllable,GTEP,10,61.70820236206055,-1.9411326791846373
Semi-controllable,CDP,-10,65.1528549194336,3.532673316781697
Semi-controllable,CDP,-5,65.1528549194336,3.532673316781697
Semi-controllable,CDP,0,62.929752349853516,0.0
Semi-controllable,CDP,5,63.523746490478516,0.9439003308367265
Semi-controllable,CDP,10,63.523746490478516,0.9439003308367265
Passive,AT,-10,62.46219253540039,-0.7429868972847045
Passive,AT,-5,63.0942268371582,0.2613620444433075
Passive,AT,0,62.929752349853516,0.0
Passive,AT,5,62.795433044433594,-0.21344324489501115
Passive,AT,10,62.82365036010742,-0.16860385713299367
Passive,AP,-10,64.84951782226562,3.050648382881453
Passive,AP,-5,64.84951782226562,3.050648382881453
Passive,AP,0,62.929752349853516,0.0
Passive,AP,5,66.56922149658203,5.783383869834961
Passive,AP,10,66.56922149658203,5.783383869834961
Passive,AH,-10,64.70410919189453,2.8195833858944876
Passive,AH,-5,64.09295654296875,1.8484169247138982
Passive,AH,0,62.929752349853516,0.0
Passive,AH,5,62.036712646484375,-1.4191057012338923
Passive,AH,10,61.54239273071289,-2.20461636560668
