gene	BulkHC1	BulkHC2	BulkHC3	BulkHC4	BulkSOR1	BulkSOR2	BulkSOR3	BulkSOR4
ENSMUSG00000000001	1850.36	2461.47	2002.96	2754.90	3015.03	2031.94	2208.21	1866.38
ENSMUSG00000000003	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000028	79.08	99.25	90.60	131.48	130.24	103.28	95.97	92.65
ENSMUSG00000000031	15.52	2.87	8.78	17.83	36.71	7.52	14.73	9.41
ENSMUSG00000000037	57.12	85.68	58.53	85.09	68.12	38.52	53.54	48.82
ENSMUSG00000000049	13.57	13.74	9.14	22.20	6.68	3.90	16.56	32.08
ENSMUSG00000000056	2807.08	3526.07	3168.90	4029.99	4458.08	2479.35	3665.55	2605.79
ENSMUSG00000000058	922.31	1001.92	762.47	1126.18	956.63	786.57	926.82	646.58
ENSMUSG00000000078	2441.50	2902.33	2131.68	2981.94	2741.62	2215.77	2685.18	1989.57
ENSMUSG00000000085	989.26	1435.26	985.76	1553.13	1208.51	1005.67	1239.27	850.83
ENSMUSG00000000088	1691.86	2331.10	1646.93	2539.95	2545.83	1641.65	1972.65	1469.73
ENSMUSG00000000093	49.46	45.31	40.95	55.74	25.13	32.57	30.84	18.09
ENSMUSG00000000094	4.67	12.05	5.14	13.77	6.35	6.75	10.90	3.00
ENSMUSG00000000103	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000120	103.91	75.59	64.92	150.29	117.15	69.56	109.54	86.73
ENSMUSG00000000125	115.12	159.52	149.57	176.98	139.61	161.01	148.08	141.13
ENSMUSG00000000126	247.45	455.90	304.93	444.05	182.44	138.99	300.48	181.26
ENSMUSG00000000127	2307.75	3088.74	2375.76	3244.39	3153.81	2523.76	2697.63	2047.29
ENSMUSG00000000131	3579.43	5460.86	3407.65	5025.34	4405.98	3059.38	3736.32	2745.11
ENSMUSG00000000134	608.64	1283.07	783.84	997.02	1100.04	908.79	995.79	927.14
ENSMUSG00000000142	1069.13	1404.83	1198.81	1789.50	1344.89	965.38	1339.44	867.36
ENSMUSG00000000148	600.60	939.09	734.22	1108.91	761.43	641.64	714.14	592.82
ENSMUSG00000000149	4579.66	6047.32	4827.78	6888.03	6168.03	4685.71	5034.61	4516.58
ENSMUSG00000000154	0.98	3.62	7.89	14.79	36.13	13.17	5.39	15.12
ENSMUSG00000000157	4.60	2.46	2.02	5.02	10.95	2.10	4.05	3.71
ENSMUSG00000000159	11.43	9.50	11.67	16.02	59.53	13.77	18.16	1.41
ENSMUSG00000000167	59.58	73.85	63.49	113.48	79.39	56.70	52.09	41.58
ENSMUSG00000000168	4537.45	5905.79	4952.17	7078.84	6165.24	4494.17	5360.51	3911.74
ENSMUSG00000000171	1911.56	2526.08	1910.56	2850.55	2731.06	1830.90	2135.50	1813.91
ENSMUSG00000000182	12.54	1.99	10.10	17.78	9.32	2.93	5.96	4.97
ENSMUSG00000000183	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00
ENSMUSG00000000184	2579.03	3560.44	2948.05	4180.70	5085.42	3107.41	3772.21	2722.66
ENSMUSG00000000194	2627.69	3177.76	2535.31	2662.52	2439.61	1662.68	2661.75	1873.44
ENSMUSG00000000197	8596.42	11378.12	8902.54	12459.09	10758.62	8427.19	10031.67	7543.53
ENSMUSG00000000202	591.78	796.85	600.27	705.20	625.58	585.20	593.98	410.53
ENSMUSG00000000204	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99
ENSMUSG00000000214	31.12	37.89	13.27	37.58	32.43	33.22	30.78	23.82
ENSMUSG00000000215	7.78	0.00	1.05	8.07	38.81	6.16	6.15	0.00
ENSMUSG00000000216	13.28	30.25	4.14	17.51	8.39	6.83	15.74	10.84
ENSMUSG00000000223	2678.24	3511.61	3107.89	3996.17	3462.95	2856.20	3737.11	3051.92
ENSMUSG00000000244	29.15	19.34	17.77	28.52	16.88	24.95	17.48	0.98
ENSMUSG00000000247	1692.08	2327.18	2097.17	2905.16	2751.26	2034.67	2261.78	1799.56
ENSMUSG00000000248	0.00	0.00	0.00	0.00	3.27	0.63	0.64	0.00
ENSMUSG00000000253	2169.51	3268.53	2174.67	3242.19	2729.75	2312.99	2441.47	2098.64
ENSMUSG00000000263	12.01	4.86	0.00	0.00	3.27	4.18	9.62	2.91
ENSMUSG00000000266	1157.56	1763.72	1218.69	1967.60	1480.43	1271.73	1459.70	1144.14
ENSMUSG00000000275	161.82	164.56	151.61	264.73	289.88	207.31	149.80	194.90
ENSMUSG00000000276	4711.80	6025.77	4710.73	7025.23	5568.40	4570.15	5385.60	4133.41
ENSMUSG00000000278	478.90	600.65	473.58	697.27	791.96	513.78	588.79	501.28
ENSMUSG00000000282	354.52	991.73	788.90	1029.37	650.48	380.01	987.06	353.69
ENSMUSG00000000290	249.38	314.21	319.97	388.56	395.44	221.98	270.08	336.11
ENSMUSG00000000295	360.90	473.20	340.32	530.62	452.09	332.90	342.08	264.59
ENSMUSG00000000296	854.18	970.32	786.47	1331.19	1182.69	800.42	878.49	643.24
ENSMUSG00000000301	46.28	63.98	64.59	71.42	62.57	50.72	71.59	42.13
ENSMUSG00000000303	25.90	6.88	27.03	34.63	59.67	23.78	38.66	26.37
ENSMUSG00000000305	276.18	427.45	288.83	501.73	329.10	330.57	566.02	303.58
ENSMUSG00000000308	8649.55	12346.11	9657.41	13331.06	12046.66	9020.63	10594.22	9211.49
ENSMUSG00000000317	73.77	86.04	60.04	129.15	115.11	68.18	107.76	80.02
ENSMUSG00000000318	11.09	4.71	3.48	14.03	9.52	17.51	8.42	3.86
ENSMUSG00000000320	33.02	25.88	26.19	34.48	22.77	27.57	30.91	12.89
ENSMUSG00000000325	1523.01	1598.32	1015.71	1718.41	1726.45	1041.58	1254.13	1001.78
ENSMUSG00000000326	2914.49	4165.87	3180.51	4566.36	4361.18	2947.62	3413.69	3031.51
ENSMUSG00000000339	1462.47	1781.16	1441.52	2025.47	1842.51	1343.25	1531.64	1208.72
ENSMUSG00000000340	1339.49	1756.67	1059.59	1663.30	1784.82	1142.62	1248.05	1121.80
ENSMUSG00000000346	2891.42	3716.27	3092.39	4653.24	3940.99	2952.07	3289.41	2990.37
ENSMUSG00000000355	1100.46	1646.08	1247.33	1801.12	1691.63	1197.50	1248.24	1123.65
ENSMUSG00000000359	19.16	31.49	9.80	30.48	15.22	8.45	11.57	14.45
ENSMUSG00000000365	57.60	90.00	58.47	88.83	99.85	40.18	67.26	34.55
ENSMUSG00000000374	4872.30	6569.65	4819.66	7107.66	6625.19	4982.54	5866.06	4760.45
ENSMUSG00000000378	1188.73	1625.80	1186.23	1939.53	1840.44	1188.66	1387.52	1193.18
ENSMUSG00000000381	0.00	1.77	2.48	3.47	7.40	3.42	2.61	0.00
ENSMUSG00000000384	658.91	890.77	653.72	1079.53	973.37	498.93	943.73	500.27
ENSMUSG00000000385	7.97	13.63	8.46	3.73	17.07	6.16	14.08	0.00
ENSMUSG00000000386	11.96	27.94	7.67	23.82	10.83	11.54	10.59	9.51
ENSMUSG00000000392	111.49	19.56	15.95	159.55	294.60	112.07	125.86	33.08
ENSMUSG00000000394	0.00	0.00	2.04	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000399	3817.00	4926.54	4082.18	5775.34	5251.37	3788.90	4300.93	3591.63
ENSMUSG00000000402	208.39	266.91	203.55	310.37	219.77	165.08	246.14	127.32
ENSMUSG00000000409	32.88	42.90	30.94	63.08	36.96	30.42	64.15	36.55
ENSMUSG00000000411	2.87	10.01	7.12	5.93	13.28	7.85	3.97	9.99
ENSMUSG00000000416	10061.36	13855.80	11484.16	15752.04	13638.26	12880.20	14062.95	10869.72
ENSMUSG00000000420	3225.59	4566.17	3552.22	5038.35	4571.16	3332.31	3946.75	3383.57
ENSMUSG00000000435	0.00	4.01	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000439	1811.95	2541.01	2042.26	3104.84	2362.29	1494.97	2397.23	2098.34
ENSMUSG00000000440	99.12	75.32	45.54	98.28	142.64	50.43	92.71	55.28
ENSMUSG00000000441	2887.62	3455.18	2935.52	4161.44	3930.57	3116.18	3407.10	2879.17
ENSMUSG00000000486	63.52	53.02	56.57	71.08	52.65	76.99	80.13	42.31
ENSMUSG00000000489	549.62	748.17	539.20	899.92	788.25	471.01	702.05	566.01
ENSMUSG00000000530	473.03	311.30	284.20	436.36	573.48	420.24	269.94	297.61
ENSMUSG00000000531	1450.77	1843.45	1522.58	2255.54	2075.55	1712.67	1979.72	1567.98
ENSMUSG00000000532	4538.73	6297.54	4512.53	6761.33	5723.54	4565.94	5595.19	4495.01
ENSMUSG00000000538	6692.48	8496.75	6819.66	10551.40	8385.16	6874.77	8883.11	6690.87
ENSMUSG00000000544	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000000552	296.34	429.91	294.10	460.07	337.08	293.59	451.25	324.39
ENSMUSG00000000555	25.30	36.32	26.57	63.46	50.27	109.12	76.91	26.00
ENSMUSG00000000560	3475.41	4302.45	3797.58	5170.14	4968.13	3891.32	4276.17	2979.77
ENSMUSG00000000561	1939.85	2452.46	2068.29	2501.43	2667.79	1710.43	2311.02	1943.59
ENSMUSG00000000562	85.64	53.59	43.36	68.77	63.05	37.57	61.98	41.02
