gene_id,gene_name,genome
ENSMUSG00000000001,Gnai3,mm10
ENSMUSG00000000003,Pbsn,mm10
ENSMUSG00000000028,Cdc45,mm10
ENSMUSG00000000031,H19,mm10
ENSMUSG00000000037,Scml2,mm10
ENSMUSG00000000049,Apoh,mm10
ENSMUSG00000000056,Narf,mm10
ENSMUSG00000000058,Cav2,mm10
ENSMUSG00000000078,Klf6,mm10
ENSMUSG00000000085,Scmh1,mm10
ENSMUSG00000000088,Cox5a,mm10
ENSMUSG00000000093,Tbx2,mm10
ENSMUSG00000000094,Tbx4,mm10
ENSMUSG00000000103,Zfy2,mm10
ENSMUSG00000000120,Ngfr,mm10
ENSMUSG00000000125,Wnt3,mm10
ENSMUSG00000000126,Wnt9a,mm10
ENSMUSG00000000127,Fer,mm10
ENSMUSG00000000131,Xpo6,mm10
ENSMUSG00000000134,Tfe3,mm10
ENSMUSG00000000142,Axin2,mm10
ENSMUSG00000000148,Brat1,mm10
ENSMUSG00000000149,Gna12,mm10
ENSMUSG00000000154,Slc22a18,mm10
ENSMUSG00000000157,Itgb2l,mm10
ENSMUSG00000000159,Igsf5,mm10
ENSMUSG00000000167,Pih1d2,mm10
ENSMUSG00000000168,Dlat,mm10
ENSMUSG00000000171,Sdhd,mm10
ENSMUSG00000000182,Fgf23,mm10
ENSMUSG00000000183,Fgf6,mm10
ENSMUSG00000000184,Ccnd2,mm10
ENSMUSG00000000194,Gpr107,mm10
ENSMUSG00000000197,Nalcn,mm10
ENSMUSG00000000202,Btbd17,mm10
ENSMUSG00000000204,Slfn4,mm10
ENSMUSG00000000214,Th,mm10
ENSMUSG00000000215,Ins2,mm10
ENSMUSG00000000216,Scnn1g,mm10
ENSMUSG00000000223,Drp2,mm10
ENSMUSG00000000244,Tspan32,mm10
ENSMUSG00000000247,Lhx2,mm10
ENSMUSG00000000248,Clec2g,mm10
ENSMUSG00000000253,Gmpr,mm10
ENSMUSG00000000263,Glra1,mm10
ENSMUSG00000000266,Mid2,mm10
ENSMUSG00000000275,Trim25,mm10
